ключ;"!частотность";
"щебень гранитный";"81";
"щебень известняковый";"12";
"щебень вторичный";"8";
"щебень шлаковый";"58";
"щебень 5-20";"280";
"щебень 20-40";"289";
"щебень 40-70";"93";
"песок речной";"94";
"песок мытый";"1";
"песок карьерный";"21";
"песок строительный";"66";
"отсев гранитный";"37";
"отсев 0-5";"11";
"пгс";"389";
"опгс";"1";
"керамзит фракция";"1";
"скальный грунт";"75";
"дресва купить";"22";
"песчано щебеночная смесь";"15";
"пщс купить";"6";
"уголь каменный в мешках";"5";
"горячий асфальт";"12";
"холодный асфальт в мешках";"161";
"битумная эмульсия";"75";
"жби изделия";"28";
"плиты перекрытия пк";"3";
"плиты перекрытия пб";"4";
"фундаментные блоки фбс";"2";
"кольца жби";"100";
"кольца колодезные кс";"1";
"крышки для колодцев";"0";
"лотки теплотрасс";"15";
"лотки жби";"18";
"дорожные плиты пдн";"2";
"аэродромные плиты паг";"0";
"плиты для покрытий дорог";"0";
"фундаменты дорожных знаков";"1";
"дождеприемники";"14";
"люки для колодцев";"0";
"трубы железобетонные безнапорные";"1";
"опорные подушки оп";"0";
"лестничные марши жби";"0";
"ступени жби";"1";
"прогоны жби";"2";
"утяжелители убо";"6";
"перемычки бп";"0";
"перемычки пб";"6";
"опоры св";"0";
"опоры лэп жби";"1";
"тротуарная плитка";"1301";
"вибропрессованная плитка";"5";
"вибролитая плитка";"1";
"тактильная плитка";"58";
"полимерпесчаная плитка";"38";
"бехатон купить";"21";
"укладка бехатона";"10";
"брусчатка бетонная";"2";
"гранитная брусчатка";"45";
"гранитные плиты мощения";"0";
"бордюр гранитный";"38";
"бордюр дорожный";"52";
"бордюр тротуарный";"299";
"бордюр садовый";"114";
"поребрик бетонный";"2";
"камень бортовой бр";"3";
"бордюр бр 100.30.15";"19";
"установка бордюра";"3";
"бетонные полусферы";"27";
"парковочные полусферы";"0";
"ограничители парковки бетонные";"7";
"бетонные вазоны";"2";
"уличные вазоны для цветов";"29";
"цветники из бетона";"0";
"фасадная бетонная плитка";"1";
"накладные проступи";"0";
"ступени бетонные";"5";
"бетонные заборы";"1";
"печи барбекю из бетона";"0";
"бетонные лотки водоотводные";"46";
"кирпич бетонный";"29";
"полистиролбетонные блоки";"50";
"вентиляционные блоки жби";"0";
"пескоблоки";"5";
"арболитовые блоки";"190";
"перегородочные блоки";"24";
"стеновые блоки для дома";"0";
"наливной промышленный пол";"2";
"топпинг для бетонного пола";"11";
"эпоксидное покрытие для пола";"8";
"гидроизоляция бетона";"43";
"ремонтная смесь для бетона";"42";
"торкрет смесь";"0";
"самовыравнивающаяся смесь";"3";
"пропитка для бетона";"35";
"грунтовка по бетону";"10";
"опоры лэп деревянные";"12";
"шпалы пропитанные";"1";
