Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"асфальт";7;1;;;1292401;27067;19276;444;444;122.6;2000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi"
"кольцо колодезное кс";14;3;;;938;140;151;142;135;0.3;0;"www.betongrupp-ekb.ru";"/goods/18920533-koltso_kolodeznoye_kts_10_6"
"бехатон";5;1;;;824;133;457;84;84;179.8;2000000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton"
"полистиролбетон купить в екатеринбурге";6;4;;1;161;54;108;41;41;136.7;730000;"www.betongrupp-ekb.ru";"/catalog/k-2607037-polistirolbeton_tovarny"
"холодный асфальт в мешках";5;4;;;7579;708;278;39;39;25.9;356000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge"
"шлакоблок купить в екатеринбурге";8;4;;1;98;49;51;32;30;27.5;817000;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"щебень екатеринбург купить с доставкой";17;5;;1;428;28;356;24;24;106.5;932000;"www.betongrupp-ekb.ru";"/catalog/k-223145-shcheben"
"жби изделия купить";4;3;;;352;43;67;23;23;0.3;816000;"www.betongrupp-ekb.ru";"/catalog/k-221398-zhbi"
"инертные материалы";9;2;;;9342;970;204;45;22;33;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223137-sypuchiye_stroitelnyye_materialy"
"жби вк";10;2;;;104;22;65;22;22;29.2;1000000;"www.betongrupp-ekb.ru";"/catalog/k-221398-zhbi"
"бехатон тротуарная плитка";7;3;;;406;60;264;36;20;40.7;0;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton"
"бордюр тротуарный 1000х200х80 цена";4;4;;;2470;1056;88;17;17;95.1;0;"www.betongrupp-ekb.ru";"/goods/141141168-bordyur_trotuarny_br_100_20_8_1000kh200kh80_tsvet_sery"
