Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"бордюр тротуарный";10;2;;;51884;2428;866;41;41;125.6;9000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";
"ко6";4;1;;;3281;1102;110;50;37;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/26984203-koltso_opornoye_ko_6";
"щебень 20 40 цена за 1 м3 с доставкой екатеринбург";10;10;;1;43;42;33;32;32;128.2;4000000;"www.betongrupp-ekb.ru";"/goods/24376971-shcheben_fr_20_40_s_dostavkoy_po_yekaterinburgu_obem_3_kub_metra";
"песок строительный цена за м3";8;5;;;1796;583;49;24;24;3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"поребрик тротуарный купить в екатеринбурге";7;5;;1;33;25;26;23;19;60.7;637000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";-1
"сухой асфальт";10;2;;;6683;850;129;19;19;85.4;278000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";
"асфальт купить в екатеринбурге";8;4;;1;646;28;440;18;18;47.7;883000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";0
"стоимость опор лэп";9;3;;;277;60;20;18;18;0.3;589000;"www.betongrupp-ekb.ru";"/catalog/k-5578828-opory_lep";0
"тактильная плитка из бетона тротуарная";8;5;;;31;18;22;18;18;0.3;199000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya";0
"бетон в7 5";10;3;;;2698;264;51;18;18;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/20862399-beton_m_100_v7_5";
"бехатон тротуарная плитка екатеринбург";6;4;;1;57;19;44;17;17;40;195000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-1
"монохим екатеринбург";5;2;;1;26;19;19;18;16;0.3;162000;"www.betongrupp-ekb.ru";"/pages/35144-produktsiya-monohim";
"полистеролбетоновые блоки цена в екатеринбурге";8;5;;1;32;28;15;15;15;76.1;938000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"бетонный кирпич купить в екатеринбурге";3;5;;1;24;24;15;15;15;35.5;817000;"www.betongrupp-ekb.ru";"/catalog/k-10098567-kirpich_betonny";2
"щебень цена за м3";5;4;;;3545;295;64;14;14;35.2;3000000;"www.betongrupp-ekb.ru";"/catalog/k-223145-shcheben";
"бехатон тротуарная плитка екатеринбург купить";8;5;;1;29;22;15;14;14;47.4;825000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-3
"асфальтобетон";7;1;;;33563;836;668;14;14;53.8;1000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"купить отсев в мешках в екатеринбурге";10;6;;1;123;15;93;53;14;40.4;878000;"www.betongrupp-ekb.ru";"/goods/155875640-otsev_granitny_v_meshkakh_mkr_po_1_tonne";0
"опоры лэп деревянные";9;3;;;1033;32;92;26;13;189.3;490000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";-5
"бетонная газонная решетка";7;3;;;3052;240;50;13;13;76.1;206000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";
"склад г березовский пос ленинский 28а";5;6;;1;16;13;16;13;13;0.3;3000000;"www.betongrupp-ekb.ru";"/pages/8717-adresa-skladov";0
"полистеролбетоновые блоки купить в екатеринбурге от производителя";7;7;;1;31;26;18;13;13;69.1;866000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";4
"бетон в20 f100";2;3;;;179;22;14;13;13;11.5;4000000;"www.betongrupp-ekb.ru";"/goods/149664683-beton_m250_v20_f100_w4_s_pmd";0
"полистирол блоки купить в екатеринбурге от производителя";12;7;;1;36;19;15;12;12;232.8;891000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"тротуарная плитка 800х400х80 в екатеринбурге";14;5;;1;12;12;12;12;12;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/72386829-trotuarnaya_plitka_kvadrat_400kh400kh80_krasnaya_armirovannaya";0
"деревянная опора лэп";3;3;;;1050;32;85;18;11;21.2;459000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";6
"купить плитку калифорния дерево в екатеринбурге";3;6;;1;15;11;15;11;11;26.5;904000;"www.betongrupp-ekb.ru";"/catalog/k-7008741-kaliforniya_derevo";0
"полистиролбетонные перемычки";8;2;;;393;48;57;18;11;43.9;185000;"www.betongrupp-ekb.ru";"/catalog/k-8404166-peremychki_polistirolbetonnyye_ppb";
"купить полистиролбетонные блоки в екатеринбурге";9;5;;1;102;15;54;13;11;122.6;813000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"тротуарная плитка старый город";6;4;;;3032;265;44;15;10;156.8;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";-4
"стоимость песка за 1 тонну с доставкой";9;7;;;206;182;10;10;10;0.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";0
"купить холодный асфальт в екатеринбурге";7;5;;1;349;13;238;30;10;82.6;850000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";0
"эмульсия битумно дорожная";6;3;;;1464;86;40;12;10;33;241000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";
"опоры лэп деревянные пропитанные";3;4;;;110;12;18;10;10;24.7;478000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"фундаментная балка";7;2;;;5174;232;144;19;10;10.3;217000;"www.betongrupp-ekb.ru";"/catalog/k-470925-balka_fundamentnaya_fb";1
"полистеролбетоновые блоки размеры и цена";6;5;;;261;223;10;10;10;38.4;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"производство тротуарной плитки екатеринбург";7;4;;1;26;14;19;10;10;132.2;444000;"www.betongrupp-ekb.ru";"/pages/16173-trotuarnaya-plitka";1
"купить фбс в екатеринбурге";7;4;;1;233;10;149;23;9;82.5;8000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs";0
"тротуарная плитка бехатон";9;3;;;527;12;278;28;9;88.9;235000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";
"гладкая тротуарная плитка в екатеринбурге";3;5;;1;17;9;13;9;9;0.3;221000;"www.betongrupp-ekb.ru";"/catalog/k-5576704-gladkaya";0
"бордюрный камень купить в екатеринбурге";6;5;;1;16;10;13;9;9;110.7;906000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";0
"тротуарная плитка новый город екатеринбург";4;5;;1;17;11;15;9;9;34.7;3000000;"www.betongrupp-ekb.ru";"/catalog/k-10758359-novy_gorod";0
"битумная эмульсия";8;2;;;9940;302;230;13;9;24.6;179000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";-2
"бордюр дорожный";7;2;;;8077;361;129;14;9;67;322000;"www.betongrupp-ekb.ru";"/catalog/k-10098572-dorozhny";0
