Ключ;Вес ключа;Похожесть на исходные фразы;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления
"коэффициент уплотнения щебня";10;42;3;;;3767;806;126;33;27;11.8;76000;0;0;4
"скальники";10;30;1;;;9422;490;353;40;25;23.7;2000000;0;0;0
"купить щебень в екатеринбурге с доставкой";10;30;6;;1;37;7;30;15;7;50.2;690000;0;0;0
"мраморная крошка";10;30;2;;;26457;1200;454;31;26;21.1;246000;0;0;0
"пщс купить";10;30;2;;;621;21;41;2;2;10.6;861000;0;0;9
"отсев купить в екатеринбурге";10;30;4;;1;556;71;454;55;55;144;810000;0;0;8
"дресьва цена екатеринбург";10;30;3;;1;45;10;32;7;7;1.1;8000;0;0;6
"щебень мраморный";10;30;2;;;4079;84;335;26;12;36.9;207000;0;0;8
"холодный асфальт в мешках";10;30;4;;;7579;708;278;39;39;25.9;356000;1;1;8
"керамзит купить екатеринбург";10;30;3;;1;378;9;236;29;5;44.9;726000;1;1;9
"керамзит купить в екатеринбурге";9;28;4;;1;330;120;196;98;68;56.3;781000;0;0;9
"керамзит купить";8;26;2;;;29071;1735;636;40;27;51.5;903000;1;1;8
"щебень коэффициент уплотнения 20 40";6;24;5;;;596;7;17;7;2;0.3;2000000;0;0;0
"коэффициент уплотнения щебня 20 40";7;24;5;;;864;294;17;17;6;54.1;2000000;0;0;7
"мраморный щебень";7;24;2;;;4079;208;335;26;10;36.9;14000;0;0;8
"коэффициент уплотнения щебня 5 10 при трамбовке таблица";6;24;8;;;6;6;4;4;4;0.3;3000000;0;0;6
"сколько стоит керамзит";7;23;3;1;;1989;433;15;2;2;0.3;852000;0;0;8
"керамзит екатеринбург";6;23;2;;1;405;11;227;8;6;67.2;144000;1;1;0
"коэффициент уплотнения щебня 40 70";6;23;5;;;404;120;9;9;9;0.3;1000000;0;0;4
"керамзит цена";7;23;2;;;11895;977;162;5;5;14.8;681000;0;0;4
"керамзит цена за 1 м3";6;23;5;;;1732;204;28;17;4;14.2;4000000;0;0;7
"купить отсев";7;22;2;;;18671;206;916;21;15;139.6;847000;0;0;9
"отсев цена";6;22;2;;;2114;51;122;2;2;0.3;770000;0;0;9
"щебень екатеринбург купить с доставкой";7;22;5;;1;428;28;356;24;24;106.5;932000;0;0;8
"сколько стоит отсев в екатеринбурге";6;21;5;1;1;7;2;3;2;2;0.3;605000;0;0;0
"керамзит цена за 1 м3 с доставкой";6;21;7;;;1016;794;20;16;12;12.9;4000000;0;0;8
"мраморный щебень купить";6;21;3;;;1559;88;149;9;7;50.9;838000;0;0;7
"купить скальники екатеринбург";6;21;3;;1;72;3;61;10;3;40.7;711000;0;0;0
"купить мраморный щебень";5;21;3;;;652;20;23;7;7;30.7;838000;0;0;0
"куб керамзита цена";5;20;3;;;1304;50;43;2;2;0.3;965000;1;1;8
"купить керамзит";7;20;2;;;29183;783;634;38;17;58.7;828000;0;0;8
"цена керамзита за куб в екатеринбурге";5;20;6;;1;19;11;8;7;2;20.7;816000;0;0;8
"насыпная плотность песка";2;20;3;;;1884;311;41;10;5;30.9;96000;0;0;0
"мраморная крошка купить в екатеринбурге";6;20;5;;1;56;17;28;22;6;38.8;852000;0;0;0
"отсев купить";6;20;2;;;18281;312;874;26;15;46;2000;0;0;8
"щебень 20 40 коэффициент уплотнения";6;20;5;;;769;22;26;13;2;0.3;2000000;0;0;0
"дресва купить в екатеринбурге с доставкой цена";4;19;7;;1;59;3;48;8;2;11.1;2000;0;0;6
"купить щебень в екатеринбурге с доставкой цена за куб";6;19;9;;1;45;13;30;9;8;69.2;1000000;0;0;9
"купить щебень екатеринбург с доставкой";6;18;5;;1;357;3;308;6;2;106.5;922000;0;0;7
"мраморная крошка в екатеринбурге купить";4;18;5;;1;59;9;27;15;7;31;828000;0;0;0
"крошка мраморная";6;18;2;;;26883;101;441;17;2;36.8;2000;0;0;8
"отсев купить в екатеринбурге с доставкой цена за куб екатеринбург";5;18;10;;1;44;8;42;9;7;105.7;1000000;0;0;9
"купить отсев в екатеринбурге с доставкой";5;18;6;;1;35;2;32;3;2;241.7;733000;0;0;0
"купить керамзит в екатеринбурге";6;18;4;;1;367;57;225;107;22;27.3;739000;1;1;0
"дресва купить в екатеринбурге с доставкой цена за куб";4;18;9;;1;2;2;4;4;2;0.3;1000000;0;0;0
"мраморная крошка купить екатеринбург";4;17;4;;1;374;5;241;3;3;18.8;852000;0;0;8
"щебень в екатеринбурге цена с доставкой";6;17;6;;1;176;3;145;3;3;0.3;853000;0;0;8
"мраморная крошка купить";5;17;3;;;13927;679;192;32;7;49.7;667000;0;0;0
