Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"plitkaekb.ru";"/";135;29;62;83;93;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/";60;38;8;63;82;100;100;100
"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";43;23;26;61;87;100;100;100
"plitkaekb.ru";"/bordyuryi-i-elementyi/";37;47;9;43;66;98;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";21;17;0;35;88;100;100;100
"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";17;6;17;17;100;100;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";15;8;0;0;0;88;100;100
"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";9;17;0;35;65;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/dlya-kladbishcha/";6;1;100;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/kaliforniya-derevo/";4;3;33;33;67;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";4;7;0;43;86;100;100;100
"plitkaekb.ru";"/syipuchie-materialyi/pesok/";4;4;0;25;50;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/";4;4;0;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-tuchka/";4;2;50;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";4;8;0;25;62;88;100;100
"plitkaekb.ru";"/polnyij-prajs-list/";4;2;0;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/figurnaya/";4;4;75;75;75;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";4;7;29;86;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/";4;4;25;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";4;9;0;78;78;100;100;100
"plitkaekb.ru";"/bordyuryi-i-elementyi/bordyur-dorozhnyij-vibropressovanie/";3;3;0;33;100;100;100;100
"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";3;7;0;14;71;100;100;100
"plitkaekb.ru";"/stenovyie-bloki/";3;9;0;22;44;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";3;6;50;67;83;100;100;100
"plitkaekb.ru";"/ukladka-pod-klyuch/";3;11;0;0;18;100;100;100
"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";3;7;0;29;71;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";3;7;0;43;71;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kirpich/";3;4;25;75;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod-40/";2;2;50;100;100;100;100;100
"plitkaekb.ru";"/betonnye-kolca/";2;4;0;25;75;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";2;5;0;40;40;100;100;100
"plitkaekb.ru";"/otzyvy/";2;1;0;100;100;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/500x500/";1;4;0;25;50;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/dlya-otmostki-doma/";1;2;50;50;50;100;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";1;7;0;0;0;43;100;100
"plitkaekb.ru";"/syipuchie-materialyi/pesok/pesok-dlya-zasyipki-shvov-v-plitke-meshok-27-kg/";1;2;0;50;100;100;100;100
"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";1;6;0;0;0;83;100;100
"plitkaekb.ru";"/syipuchie-materialyi/shcheben/";1;3;0;0;0;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/morozostojkaya/";1;3;0;0;33;100;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dvora-doma/";1;3;0;100;100;100;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/otsev-meshok/";1;4;0;0;25;75;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/dlya-parkovki-avto/";1;2;0;50;50;100;100;100
"plitkaekb.ru";"/portfolio/";1;1;100;100;100;100;100;100
"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/";1;4;0;25;50;75;100;100
"plitkaekb.ru";"/trotuarnaya-plitka/tip-izgotovleniya/vibropressovannaya/trotuarnaya-plitka-kirpich-vibropressovannyij/";1;2;0;50;50;100;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/izospan/";1;3;0;0;0;33;100;100
"plitkaekb.ru";"/svetyashhayasya-trotuarnaya-plitka/";1;2;50;100;100;100;100;100
"plitkaekb.ru";"/bordyurnyie-kamni-dlya-bassejna/";1;3;0;33;33;100;100;100
"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/";1;4;0;0;25;50;100;100
"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka-rvanyij-kamen-162*247/";1;2;0;0;100;100;100;100
"plitkaekb.ru";"/syipuchie-materialyi/pesok/rechnoj-pesok-dekorativnyij/";1;3;0;33;33;100;100;100
"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";1;5;0;0;20;60;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/shheben-dekorativnyij-yashma-frakcziya-20-40mm-big-beg/";1;1;0;100;100;100;100;100
"plitkaekb.ru";"/obliczovochnyie-materialyi/";1;5;0;0;20;100;100;100
"plitkaekb.ru";"/texnologiya-ukladki-plitki-na-kryilczo-doma/";0;2;0;0;0;100;100;100
"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/vodootvodnyie-reshetki-dlya-lotkov/";0;1;0;0;0;100;100;100
"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/portlandczement-meshok/";0;1;0;0;0;0;100;100
"plitkaekb.ru";"/vidyi-obliczovochnoj-plitki/";0;0;0;0;0;0;0;0
"plitkaekb.ru";"/syipuchie-materialyi/geotekstil/geotekstil-plotnost-100-70-m-kv/";0;2;0;0;0;100;100;100
"plitkaekb.ru";"/kontaktyi/";0;0;0;0;0;0;0;0
