Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"стеклопластиковая арматура цена";10;3;;;3865;1176;559;265;265;65;836000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"арматура из стекловолокна цена";11;4;;;1084;1019;224;223;223;81;707000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"тротуарная плитка екатеринбург";2;3;;1;4550;255;2455;189;162;146.9;227000;"plitkaekb.ru";"/";5
"песок";10;1;;;2101907;4913;32792;1017;89;158.6;2000000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/";
"бехатон";7;1;;;824;133;457;84;84;179.8;2000000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";-3
"тротуарная плитка";4;2;;;217152;5422;3517;367;83;170.6;200000;"plitkaekb.ru";"/";1
"плитка тротуарная купить в екатеринбурге недорого";2;6;;1;275;102;177;90;62;160.4;748000;"plitkaekb.ru";"/trotuarnaya-plitka/";-1
"брусчатка";4;1;;;89067;5379;649;97;60;91.9;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";
"поребрик";4;1;;;28858;4562;340;59;59;172.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";
"плитка тротуарная";2;2;;;280357;3265;3674;86;56;91.7;189000;"plitkaekb.ru";"/";3
"бордюр";8;1;;;158114;4295;2847;82;55;164.8;2000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"храбрая плитка ольховка екатеринбург";1;4;;1;164;126;100;100;49;84.1;170000;"plitkaekb.ru";"/";0
"тротуарная плитка купить в екатеринбурге";3;5;;1;475;71;298;72;49;175.2;850000;"plitkaekb.ru";"/trotuarnaya-plitka/";4
"изоспан в";17;2;;;11487;1164;300;35;35;50;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/izospan/";
"купить тротуарную плитку в екатеринбурге недорого от производителя";2;8;;1;136;46;82;42;33;108.7;896000;"plitkaekb.ru";"/trotuarnaya-plitka/";4
"бехатон это";4;2;;;90;37;47;32;32;0.3;6000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"бехатон это";1;2;;;90;37;47;32;32;0.3;6000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";4
"плитка тротуарная 300х300х30 купить в екатеринбурге";6;6;;1;136;71;58;31;31;154.8;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";
"бортовой камень";6;2;;;30282;803;666;33;30;66.91;305000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";-1
"шлакоблок купить в екатеринбурге";6;4;;1;98;49;51;32;30;27.5;817000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";3
"стеклопластиковая арматура купить в екатеринбурге";10;5;;1;147;98;48;43;27;42.5;753000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"храбрая плитка екатеринбург";1;3;;1;514;57;297;59;25;190.7;211000;"plitkaekb.ru";"/";0
"бордюр тротуарный купить в екатеринбурге";3;5;;1;164;66;92;92;25;98.5;730000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";2
"тротуарная плитка екатеринбург купить";3;4;;1;595;34;377;25;22;459;802000;"plitkaekb.ru";"/";1
"поребрик тротуарный купить в екатеринбурге";1;5;;1;33;25;26;23;19;60.7;637000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";1
"брусчатка екатеринбург";3;2;;1;200;29;102;19;19;135.7;161000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";2
"бехатон тротуарная плитка екатеринбург";2;4;;1;57;19;44;17;17;40;195000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";2
