Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"храбрая плитка";1;2;;;1402;277;727;168;154;42.5;0;"plitkaekb.ru";"/"
"купить тротуарную плитку в екатеринбурге";3;5;;1;1943;93;1075;281;41;379.9;0;"plitkaekb.ru";"/trotuarnaya-plitka/"
"бордюр тротуарный";1;2;;;51884;2428;866;41;41;125.6;9000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"плитка храбрая";1;2;;;1066;49;552;168;26;42.5;0;"plitkaekb.ru";"/"
"бехатон тротуарная плитка";5;3;;;406;60;264;36;20;40.7;0;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/"
"тротуарная плитка храбрая екатеринбург";1;4;;1;124;23;92;41;18;242;0;"plitkaekb.ru";"/"
"песок строительный цена";4;3;;;4588;468;59;13;13;22.3;844000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/"
"плитка тротуарная 500х500х50 купить в екатеринбурге";5;6;;1;60;33;26;14;12;124.9;0;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/"
"купить песок в мешках в екатеринбурге";2;6;;1;203;10;162;40;10;143.3;864000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/pesok-dlya-zasyipki-shvov-v-plitke-meshok(27-kg)/"
"купить брусчатку в екатеринбурге от производителя";2;6;;1;24;10;22;10;10;0.3;0;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/"
"плитка тротуарная старый город";2;4;;;7652;256;128;34;8;108.6;0;"plitkaekb.ru";"/ycenka/staryij-gorod/"
"как убрать траву между тротуарной плиткой";16;6;1;;582;185;9;8;8;30.9;0;"plitkaekb.ru";"/kak-izbavitsya-ot-travyi-mezhdu-trotuarnoj-plitkoj/"
"перегородочный блок";9;2;;;8117;220;181;26;7;126.8;296000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/"
"купить тротуарную плитку в екатеринбурге недорого";3;6;;1;639;21;355;120;6;233;2000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"ольховка тротуарная плитка";1;3;;;370;20;139;12;6;536.9;0;"plitkaekb.ru";"/"
"шлакоблок купить в екатеринбурге от производителя";10;6;;1;30;10;12;6;6;51.2;0;"plitkaekb.ru";"/stenovyie-bloki/"
"плитка для лестницы на улице";21;5;;;462;127;6;5;5;5.6;552000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-stupenek-lestnicy/"
"плитка 8 кирпичей";7;3;;;2335;85;66;5;5;9.5;0;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/"
"укладка плитки на могилу цена";23;5;;;156;31;7;5;5;0.3;0;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-kladbishcha/"
"плитка бетонная";1;2;;;35446;156;648;18;5;53.7;0;"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/"
"полусферы";6;1;;;57328;207;1376;34;5;116.2;2000000;"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/"
"купить тротуарную плитку бу";26;4;;;2894;67;66;4;4;12.2;800000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"бордюр вибропрессованный 1000х200х80";23;3;;;107;17;8;4;4;0.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"укладка плитки тротуарной цена за м2";10;6;;;4981;128;83;7;4;24.3;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/"
"тротуарная плитка ромб";2;3;;;747;56;6;4;4;0.3;0;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-romb/"
"9плиток ру интернет";49;3;;;582;208;9;9;4;22;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"фасадная плитка для наружной отделки дома";9;6;;;1607;214;19;4;4;23.2;1000000;"plitkaekb.ru";"/vidyi-obliczovochnoj-plitki/"
"плитка тротуарная besser брусчатка размер 199х99х80 мм серая";34;8;;;58;14;10;4;4;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"тротуарная плитка 600х600";17;3;;;427;57;6;6;3;137.2;2000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"плитка тротуарная 400х400х40 цена";10;4;;;587;158;7;3;3;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/"
"плитка для уличной лестницы";7;4;;;313;63;5;3;3;0.3;267000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-krylca-doma/"
"тротуарная плитка 40 на 40";10;5;;;1581;47;15;3;3;133.2;902000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"муфта пп 20";2;3;;;1476;116;31;4;3;57;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/santexnika/pp-mufta-soedinitelnaya-20/"
