Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"www.abzsv.com";"асфальт екатеринбурге асфальтобетон купить";2.61;2.69;4.75;4.95;4.12;-0.08;-2.14;-2.34;-1.51;30;30;32;0;0;0;8;10;17;37;93;100;100;83878;147612;24;56
"k-am.ru";"асфальтобетон";0.49;0.42;0.19;0.5;0.92;0.07;0.3;-0.01;-0.43;27;27;6;0;0;0;8;7;11;26;85;100;100;224494;155483;16;39
"abz196.ru";"екатеринбург купить плитка асфальт бехатон тротуарная асфальтирование";10.1;10.57;3.54;3.47;2.01;-0.47;6.56;6.63;8.09;143;149;124;0;0;0;49;9;26;42;85;100;100;32505;45566;31;33
"abz-vp.ru";"";0.49;0.59;0.65;0.2;0;-0.1;-0.16;0.29;0.49;25;25;6;0;0;0;12;16;16;28;92;100;100;220760;163018;13;33
"abzpro.ru";"";0.33;0.34;0.28;0.3;0.27;-0.01;0.05;0.03;0.06;14;14;4;0;0;0;7;21;29;36;79;100;100;277885;238905;8;27
"ooodolomit.ru";"щебень цена доставкой м3 екатеринбург 40 купить";2.53;0.84;0.37;0.59;0.55;1.69;2.16;1.94;1.98;79;80;31;0;0;15;20;5;10;20;82;100;100;84015;71939;13;19
"www.keramzit66.ru";"купить екатеринбурге цена щебень доставкой уголь 20";45.7;26.77;22.25;20.5;12.09;18.93;23.45;25.2;33.61;531;532;561;1;1;214;161;5;31;55;94;100;100;10392;15213;22;12
"www.terra-ekb.ru";"екатеринбурге купить цена щебень доставкой м3 20";20.61;19.89;20.76;20.4;14.1;0.72;-0.15;0.21;6.51;496;499;253;0;0;57;202;5;23;45;96;100;100;19088;16092;20;11
"www.betongrupp-ekb.ru";"екатеринбурге купить тротуарная плитка цена бетон лэп";7.41;7.3;7.82;12.08;9.52;0.11;-0.41;-4.67;-2.11;336;337;91;0;0;24;360;2;14;31;90;100;100;40755;22386;16;11
"euro-test.ru";"гост 2014 32703 кольцо прибора 30744 металлическое";7.49;7.72;6.8;5.25;5.22;-0.23;0.69;2.24;2.27;167;167;92;0;0;0;94;21;52;68;96;100;100;40188;40173;7;7
"xn--80acehqg1abgbqfmdl.xn--p1ai";"купить екатеринбурге отсев жби кольца доставкой цена";3.01;5.96;7.26;7.82;2.66;-2.95;-4.25;-4.81;0.35;84;84;37;2;2;86;45;4;10;36;94;100;100;74727;68732;5;7
"gruntovozov.ru";"екатеринбурге доставкой уголь купить отсев каменный почва";7.98;11.08;17.88;27.43;37.81;-3.1;-9.9;-19.45;-29.83;342;345;98;0;0;0;318;7;25;43;95;100;100;38529;22064;7;5
"ekaterinburg.promportal.su";"купить екатеринбурге цена бу контейнер панели труба";84.16;77.37;50;51.1;46.33;6.79;34.16;33.06;37.83;4016;4018;1033;0;0;3;7262;1;13;29;82;100;100;6354;2546;11;2
"www.mos.ru";"москва гост карта справка получить постановление рф";840.74;866.23;967.36;1006.05;990.28;-25.49;-126.62;-165.31;-149.54;15783;16253;10320;0;0;12;4933;14;27;42;94;100;100;1020;746;10;1
"files.stroyinf.ru";"гост 80 сп р чертеж труба 2017";971.33;1017.02;1139.81;1151.32;971.88;-45.69;-168.48;-179.99;-0.55;19067;19353;11923;0;0;0;12628;24;48;65;95;100;100;910;615;7;1
"ekb.pulscen.ru";"екатеринбурге купить цена оптом кирпич опора пульс";48.31;46.07;61.27;65.36;53.84;2.24;-12.96;-17.05;-5.53;3030;3044;593;2153;783;2927;19594;1;6;16;68;100;100;9970;3278;6;1
