Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"www.terra-ekb.ru";"екатеринбурге купить цена щебень доставкой м3 20";20.61;19.89;20.76;20.4;14.1;0.72;-0.15;0.21;6.51;496;499;253;0;0;57;202;5;23;45;96;100;100;19088;16092;153;30
"ntk-ekb.ru";"екатеринбург купить щебень доставкой цена песок отсев";34.95;16.28;16.2;22.38;18.68;18.67;18.75;12.57;16.27;360;360;429;244;142;2013;101;3;23;46;95;100;100;12776;21135;126;29
"svetlogorural.ru";"щебень купить екатеринбурге доставкой цена 20 отсев";18.25;14.85;12.29;9.11;1.65;3.4;5.96;9.14;16.6;199;199;224;0;0;0;21;14;51;73;96;100;100;20988;34778;90;28
"uuct.ru";"уголь екатеринбурге купить каменный мешках";2.2;2.27;1.4;0.3;0.18;-0.07;0.8;1.9;2.02;50;50;27;0;0;0;4;2;14;52;96;100;100;93883;102216;44;27
"xn----ftbksldqt8fn.xn--p1ai";"уголь екатеринбурге купить каменный союзуголь мешках";2.85;2.85;3.07;2.57;6.5;0;-0.22;0.28;-3.65;43;43;35;0;0;4;1;12;30;56;93;100;100;78439;113706;39;26
"rckeramzit.ru";"керамзит купить екатеринбурге керамзитоблок цена сайт блоки";5.05;5.03;4.56;2.48;1.19;0.02;0.49;2.57;3.86;60;60;62;2;2;34;11;15;40;63;98;100;100;53165;88851;46;26
"d196.ru";"купить екатеринбурге щебень доставкой цена камаз песок";5.46;2.52;4.1;3.96;1.65;2.94;1.36;1.5;3.81;102;102;67;137;66;1137;17;1;7;23;88;100;100;50480;59510;59;25
"xn--80aab8au1ag4b.xn--p1ai";"купить екатеринбурге песок доставкой цена щебень отсев";40;14.6;9.87;8.42;0.55;25.4;30.13;31.58;39.45;163;163;491;8;7;17;29;12;45;63;97;100;100;11477;40985;68;23
"usk-66.ru";"екатеринбурге цена отсев щебень доставка купить дресьва";3.01;3.61;4.19;4.75;1.46;-0.6;-1.18;-1.74;1.55;86;86;37;0;0;18;22;3;14;35;87;100;100;74826;67548;44;21
"ekaterinburg.rcnab.ru";"цена екатеринбург щебень 20 песок доставкой м3";5.95;2.35;1.77;2.08;0.82;3.6;4.18;3.87;5.13;95;95;73;0;0;0;35;0;7;24;86;100;100;47175;62559;46;20
"kapiteltk.com";"екатеринбурге купить щебень мраморный отсев мешках песок";6.11;6.29;6.8;5.94;5.86;-0.18;-0.69;0.17;0.25;146;146;75;0;0;12;64;8;15;32;85;99;100;46578;44761;50;18
"www.scheben-otsev66.ru";"щебень купить екатеринбург цена доставкой 20 отсев";21.26;21.06;21.14;21.98;9.8;0.2;0.12;-0.72;11.46;312;316;261;4;6;16;83;10;37;60;96;100;100;18656;23815;73;18
"xn--80acehqg1abgbqfmdl.xn--p1ai";"купить екатеринбурге отсев жби кольца доставкой цена";3.01;5.96;7.26;7.82;2.66;-2.95;-4.25;-4.81;0.35;84;84;37;2;2;86;45;4;10;36;94;100;100;74727;68732;37;18
"ooodolomit.ru";"щебень цена доставкой м3 екатеринбург 40 купить";2.53;0.84;0.37;0.59;0.55;1.69;2.16;1.94;1.98;79;80;31;0;0;15;20;5;10;20;82;100;100;84015;71939;35;17
"ural-grunt.ru";"купить екатеринбурге чернозем глину дресьва огорода цена";1.87;2.85;4.28;4.46;1.19;-0.98;-2.41;-2.59;0.68;79;80;23;0;0;272;32;2;15;28;88;100;100;103622;72369;35;17
"xn--80ah3ahd9f.xn--p1ai";"уголь купить екатеринбурге доставка каменный";2.12;2.35;1.77;1.19;3.3;-0.23;0.35;0.93;-1.18;31;31;26;0;0;0;6;0;26;45;94;100;100;94054;141056;22;17
"ekaterinburg.kupitkeramzit.ru";"керамзит купить екатеринбурге м3 цена доставкой";0.65;0.59;0.84;1.39;1.19;0.06;-0.19;-0.74;-0.54;24;24;8;0;0;0;7;4;21;46;100;100;100;200797;171485;19;17
"pesok166.ru";"песок купить екатеринбурге цена щебень 1м3 20";2.77;2.27;3.82;4.65;3.11;0.5;-1.05;-1.88;-0.34;52;52;34;0;0;0;15;4;25;38;94;100;100;79241;98409;27;16
"www.betongrupp-ekb.ru";"екатеринбурге купить тротуарная плитка цена бетон лэп";7.41;7.3;7.82;12.08;9.52;0.11;-0.41;-4.67;-2.11;336;337;91;0;0;24;360;2;14;31;90;100;100;40755;22386;69;16
"ekaterinburg.1grunt.ru";"чернозема купить чернозем цена екатеринбурге доставкой машина";0.57;0.59;1.02;0.79;0.55;-0.02;-0.45;-0.22;0.02;33;33;7;0;0;0;8;6;12;30;94;100;100;207395;135820;20;15
"ekaterinburg.pesok-kupit.ru";"песок купить стоит екатеринбурге строительный цена камаз";12.06;1.51;0.93;0.79;0.46;10.55;11.13;11.27;11.6;51;51;148;0;0;0;6;4;12;37;98;100;100;28538;100380;24;15
"dana96.ru";"екатеринбург аренда манипулятор купить щебень цена спецтехники";30.63;36;46.74;54.27;43.31;-5.37;-16.11;-23.64;-12.68;467;468;376;41;30;379;105;5;16;40;94;100;100;14189;16990;64;13
"www.abzsv.com";"асфальт екатеринбурге асфальтобетон купить";2.61;2.69;4.75;4.95;4.12;-0.08;-2.14;-2.34;-1.51;30;30;32;0;0;0;8;10;17;37;93;100;100;83878;147612;16;13
"ekb.d-177.ru";"купить екатеринбурге доставкой цена куб песок отсев";0.73;0.92;0.65;0.69;0;-0.19;0.08;0.04;0.73;39;39;9;181;71;592;30;5;8;21;85;100;100;182716;121568;19;13
"keramzitural.ru";"керамзит м3 купить екатеринбурге доставкой цена";0.9;1.09;1.96;2.97;4.76;-0.19;-1.06;-2.07;-3.86;22;23;11;0;0;0;6;4;35;39;96;100;100;158701;177729;14;13
"eaz66.ru";"асфальт делают тракт еаз чего купить 28";12.79;13.34;5.59;5.55;3.66;-0.55;7.2;7.24;9.13;60;61;157;0;0;121;24;25;57;72;98;100;100;27285;88988;22;12
"ekaterinburg.speckvarc.ru";"песок пескоструя кварцевый купить екатеринбурге оптом";1.14;1.01;0.56;0.4;0.18;0.13;0.58;0.74;0.96;44;44;14;2;2;68;13;2;20;43;98;100;100;141236;111625;19;12
"career96.ru";"песок купить екатеринбурге щебень речной оптом тонну";1.55;2.01;1.21;1.19;0;-0.46;0.34;0.36;1.55;40;40;19;0;0;0;19;0;12;28;95;100;100;116134;119391;17;12
"ekaterinburg.pesok-quartz.ru";"песок пескоструя екатеринбурге купить";0.41;0.42;0.37;0.5;1.65;-0.01;0.04;-0.09;-1.24;31;31;5;21;21;187;10;3;16;35;100;100;100;250439;141965;16;12
"polevskoi-mramor.com";"щебень екатеринбург купить мраморный песок микрокальцит белый";5.21;5.12;5.31;5.55;3.48;0.09;-0.1;-0.34;1.73;175;175;64;0;0;1;106;11;27;41;93;100;100;52092;38743;37;12
"ugol-96.ru";"";0.08;0.08;0;0;0;0;0.08;0.08;0.08;8;8;1;0;0;0;1;0;12;12;75;100;100;609864;343361;8;12
"ursagro.ru";"песок сайт официальный урсагро пескоструя екатеринбурге песочницы";1.3;1.17;1.96;2.08;1.28;0.13;-0.66;-0.78;0.02;18;19;16;15;24;515;7;11;21;26;89;100;100;129287;206005;12;12
"gruntovozov.ru";"екатеринбурге доставкой уголь купить отсев каменный почва";7.98;11.08;17.88;27.43;37.81;-3.1;-9.9;-19.45;-29.83;342;345;98;0;0;0;318;7;25;43;95;100;100;38529;22064;53;12
"www.keramzit-est.ru";"";0.08;0.17;0.47;1.29;0.82;-0.09;-0.39;-1.21;-0.74;6;6;1;0;0;0;2;0;17;33;67;100;100;609304;408360;6;11
"mramor-66.ru";"мраморный щебень екатеринбург мрамор купить крошка свердловская";3.01;3.02;1.77;1.58;0.92;-0.01;1.24;1.43;2.09;39;41;37;0;0;0;13;17;41;59;93;100;100;75555;122122;16;11
"xn----8sbhkudflkad2d8fg.xn--p1ai";"";0;0;0;0;1.83;0;0;0;-1.83;7;7;0;0;0;8;2;0;0;0;71;100;100;;367521;7;11
"oporaural.ru";"опоры лэп деревянный производителя";0.9;1.01;1.12;1.29;1.28;-0.11;-0.22;-0.39;-0.38;20;20;11;0;0;0;1;5;30;50;90;100;100;161336;191098;11;11
"xn--80ac5aetf.xn--p1ai";"екатеринбург цена щебень доставкой асфальтирование 40 снега";3.83;3.78;4;5.94;7.78;0.05;-0.17;-2.11;-3.95;182;182;47;0;0;42;127;1;6;26;88;100;100;63797;37396;34;11
"ekaterinburg.scheben-rf.ru";"тонну стоимость щебень";0.08;0.08;0.09;0;0;0;-0.01;0.08;0.08;20;20;1;0;0;0;6;0;10;25;85;100;100;509343;189684;10;10
"www.keramzit-nt.ru";"";0.81;0.92;0.93;0.99;2.56;-0.11;-0.12;-0.18;-1.75;33;35;10;435;113;409;12;11;20;37;94;100;100;176201;137799;14;10
"rgk66.ru";"20 щебень режевской карьер доставкой официальный цена";2.77;1.85;1.3;1.19;0.09;0.92;1.47;1.58;2.68;80;81;34;0;0;0;22;1;17;48;90;100;100;80438;71864;21;10
"www.xn-----7kcagnl1aocftkb4cs5ai3j1a.xn--p1ai";"холодный асфальт мешках";0.08;0.08;0.28;0.3;0.18;0;-0.2;-0.22;-0.1;9;9;1;0;0;0;1;0;0;0;89;100;100;540444;313984;7;10
"k-am.ru";"асфальтобетон";0.49;0.42;0.19;0.5;0.92;0.07;0.3;-0.01;-0.43;27;27;6;0;0;0;8;7;11;26;85;100;100;224494;155483;12;10
"avm5.ru";"купить екатеринбурге асфальт мешках холодный";0.16;0.17;0.09;0.59;0.46;-0.01;0.07;-0.43;-0.3;9;9;2;3;3;132;1;0;11;11;67;100;100;395504;314362;7;10
"abz-vp.ru";"";0.49;0.59;0.65;0.2;0;-0.1;-0.16;0.29;0.49;25;25;6;0;0;0;12;16;16;28;92;100;100;220760;163018;10;9
"gosugol.ru";"";0.24;0.42;0.47;0.5;0.18;-0.18;-0.23;-0.26;0.06;8;8;3;0;0;0;2;25;38;62;100;100;100;366439;355692;6;9
"agrochimservice-t.ru";"екатеринбург агрохимсервис сайт официальный землю савкова евгения";2.85;3.1;3.35;3.57;1.37;-0.25;-0.5;-0.72;1.48;33;34;35;0;0;39;6;15;35;50;94;100;100;78420;137094;12;9
"mramor-m.ru";"щебень мраморный минерал микрокальцит белый ресурс екатеринбург";0.73;1.43;2.51;2.48;0.82;-0.7;-1.78;-1.75;-0.09;30;30;9;0;0;0;14;0;13;27;93;100;100;182785;145982;12;9
"xn--j1any.xn--p1ai";"щебень карьер седельниковский щебеночный купить доставкой 20";3.75;4.53;4.47;6.04;4.21;-0.78;-0.72;-2.29;-0.46;65;66;46;0;0;46;18;14;30;47;91;100;100;65279;84067;15;8
"uekopora.ru";"производителя опоры";0.16;0.25;0.28;0.3;0.27;-0.09;-0.12;-0.14;-0.11;8;8;2;27;7;85;6;0;12;12;88;100;100;433789;346746;5;8
"ekaterinburg.grunt1.ru";"";0.57;0.59;0.09;0;0;-0.02;0.48;0.57;0.57;25;27;7;0;0;0;7;7;33;44;81;100;100;212203;165259;10;8
"www.planeta-drov.ru";"екатеринбурге купить мешках уголь каменный горбыль";0.41;0.42;0.84;0.89;0.46;-0.01;-0.43;-0.48;-0.05;33;33;5;0;0;3;18;3;12;24;79;100;100;268328;137869;11;8
"stk-13.ru";"екатеринбург стк щебень stk фракции парк бетон";27.7;23.41;21.32;22.28;19.78;4.29;6.38;5.42;7.92;255;260;340;15;9;61;202;17;35;53;89;100;100;15271;28406;31;8
"mramor-pro.ru";"мраморный щебень материал нефтяными белый екатеринбург черный";0.73;1.09;1.02;1.19;0.18;-0.36;-0.29;-0.46;0.55;34;34;9;0;0;1;20;0;18;24;100;100;100;181105;133314;11;8
"tdatollekb.ru";"щебень купить м3 цена";0.81;0.67;0.93;0.89;0.73;0.14;-0.12;-0.08;0.08;37;37;10;0;0;10;17;11;14;32;86;100;100;168490;125330;11;8
"schebenpesok.ru";"щебень купить екатеринбурге доставкой щелково отсев цена";2.28;2.1;1.4;0.89;0.37;0.18;0.88;1.39;1.91;77;77;28;0;0;0;50;1;16;32;90;100;100;90625;73674;14;7
"abz196.ru";"екатеринбург купить плитка асфальт бехатон тротуарная асфальтирование";10.1;10.57;3.54;3.47;2.01;-0.47;6.56;6.63;8.09;143;149;124;0;0;0;49;9;26;42;85;100;100;32505;45566;19;7
"www.td163.ru";"блоки керамзитобетон керамзитоблок керамзитобетонные";3.26;3.36;3.26;2.28;0.82;-0.1;0;0.98;2.44;28;28;40;0;0;0;9;14;39;64;100;100;100;71060;151883;8;7
"asfaltirovanie66.ru";"екатеринбург асфальтирование м2 асфальта цена демонтаж материалом";2.28;4.03;3.35;3.17;1.19;-1.75;-1.07;-0.89;1.09;81;81;28;68;23;412;18;1;14;32;96;100;100;91610;71141;12;6
"xn--80abm7admjdb.xn--p1ai";"екатеринбурге бетон бетононасос мешках купить асфальт аренда";1.87;1.68;1.21;1.49;0.92;0.19;0.66;0.38;0.95;80;80;23;0;0;22;23;0;5;28;92;100;100;102808;71476;12;6
"samosval-ekb.ru";"купить екатеринбурге доставкой пщс скальный цена грунт";1.47;0;0;0;0;1.47;1.47;1.47;1.47;17;17;18;0;0;0;10;6;29;41;100;100;100;121678;216681;6;6
"ekaterinburg.regtorg.ru";"купить екатеринбурге цена контейнер области свердловской б";65.5;68.64;66.02;61.1;53.38;-3.14;-0.52;4.4;12.12;3695;3696;804;0;0;0;4569;1;11;26;84;100;100;7772;2751;83;6
"briketts.ru";"брикеты топливные екатеринбурге купить пеллеты брикеттс отопления";5.38;6.13;5.49;5.15;7.51;-0.75;-0.11;0.23;-2.13;111;112;66;0;0;18;14;5;18;32;93;100;100;51185;55806;14;6
"stroitesnami96.ru";"екатеринбурге купить доска брус нами стройте обрезная";16.62;17.45;18.81;16.04;14.37;-0.83;-2.19;0.58;2.25;418;419;204;0;0;7;226;4;11;26;83;100;100;22458;18675;27;6
"ekaterinburg.promportal.su";"купить екатеринбурге цена бу контейнер панели труба";84.16;77.37;50;51.1;46.33;6.79;34.16;33.06;37.83;4016;4018;1033;0;0;3;7262;1;13;29;82;100;100;6354;2546;91;6
"ekb.ocinkoff.ru";"екатеринбург купить труба лед сухой уголь ойл";3.67;4.11;3.54;3.37;5.13;-0.44;0.13;0.3;-1.46;299;299;45;0;0;0;603;1;7;18;75;100;100;66322;24763;18;5
"mastikaizol.ru";"битум каболка асфальт купить мешках холодный нефтяной";2.69;2.69;2.05;1.29;1.1;0;0.64;1.4;1.59;115;117;33;3;5;227;82;4;20;36;85;99;100;80782;53887;13;5
"atom-market.ru";"екатеринбурге купить твинблок теплит плитка цена тротуарная";19.39;18.96;14.53;11.59;10.16;0.43;4.86;7.8;9.23;422;424;238;2;2;578;111;2;14;38;93;100;100;20072;18545;26;5
"www.brick-66.ru";"купить екатеринбурге кирпич блок газоблок цена плитка";19.39;19.38;18.9;17.63;17.58;0.01;0.49;1.76;1.81;495;495;238;25;22;159;423;3;10;27;90;100;100;20007;16121;24;5
"rsk66.com";"екатеринбурге твинблок купить цена кирпич инси блок";10.75;11.33;10.8;11.39;13.37;-0.58;-0.05;-0.64;-2.62;187;187;132;0;0;120;67;4;23;40;90;99;100;30950;36561;16;5
"ural-holding.com";"купить екатеринбурге блоки производителя пеноблок цена урал";20.61;22.91;27.75;28.42;25.82;-2.3;-7.14;-7.81;-5.21;471;473;253;0;0;4745;250;3;13;26;91;100;100;19113;16874;23;5
