Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"svetlogorural.ru";"щебень купить екатеринбурге доставкой цена 20 отсев";18.25;14.85;12.29;9.11;1.65;3.4;5.96;9.14;16.6;199;199;224;0;0;0;21;14;51;73;96;100;100;20988;34778;129;48
"www.terra-ekb.ru";"екатеринбурге купить цена щебень доставкой м3 20";20.61;19.89;20.76;20.4;14.1;0.72;-0.15;0.21;6.51;496;499;253;0;0;57;202;5;23;45;96;100;100;19088;16092;182;43
"xn--80aab8au1ag4b.xn--p1ai";"купить екатеринбурге песок доставкой цена щебень отсев";40;14.6;9.87;8.42;0.55;25.4;30.13;31.58;39.45;163;163;491;8;7;17;29;12;45;63;97;100;100;11477;40985;101;42
"www.scheben-otsev66.ru";"щебень купить екатеринбург цена доставкой 20 отсев";21.26;21.06;21.14;21.98;9.8;0.2;0.12;-0.72;11.46;312;316;261;4;6;16;83;10;37;60;96;100;100;18656;23815;130;39
"usk-66.ru";"екатеринбурге цена отсев щебень доставка купить дресьва";3.01;3.61;4.19;4.75;1.46;-0.6;-1.18;-1.74;1.55;86;86;37;0;0;18;22;3;14;35;87;100;100;74826;67548;54;31
"d196.ru";"купить екатеринбурге щебень доставкой цена камаз песок";5.46;2.52;4.1;3.96;1.65;2.94;1.36;1.5;3.81;102;102;67;137;66;1137;17;1;7;23;88;100;100;50480;59510;57;30
"www.keramzit66.ru";"купить екатеринбурге цена щебень доставкой уголь 20";45.7;26.77;22.25;20.5;12.09;18.93;23.45;25.2;33.61;531;532;561;1;1;214;161;5;31;55;94;100;100;10392;15213;126;29
"ekaterinburg.rcnab.ru";"цена екатеринбург щебень 20 песок доставкой м3";5.95;2.35;1.77;2.08;0.82;3.6;4.18;3.87;5.13;95;95;73;0;0;0;35;0;7;24;86;100;100;47175;62559;53;29
"ural-grunt.ru";"купить екатеринбурге чернозем глину дресьва огорода цена";1.87;2.85;4.28;4.46;1.19;-0.98;-2.41;-2.59;0.68;79;80;23;0;0;272;32;2;15;28;88;100;100;103622;72369;45;27
"stk-13.ru";"екатеринбург стк щебень stk фракции парк бетон";27.7;23.41;21.32;22.28;19.78;4.29;6.38;5.42;7.92;255;260;340;15;9;61;202;17;35;53;89;100;100;15271;28406;72;24
"xn--80ac5aetf.xn--p1ai";"екатеринбург цена щебень доставкой асфальтирование 40 снега";3.83;3.78;4;5.94;7.78;0.05;-0.17;-2.11;-3.95;182;182;47;0;0;42;127;1;6;26;88;100;100;63797;37396;60;23
"ekb.d-177.ru";"купить екатеринбурге доставкой цена куб песок отсев";0.73;0.92;0.65;0.69;0;-0.19;0.08;0.04;0.73;39;39;9;181;71;592;30;5;8;21;85;100;100;182716;121568;27;23
"ekaterinburg.kupitnavoz.ru";"купить екатеринбурге навоз доставкой конский перегной цена";1.22;1.34;1.58;1.49;0.37;-0.12;-0.36;-0.27;0.85;38;38;15;0;0;0;11;3;34;53;100;100;100;135963;124428;26;22
"ooodolomit.ru";"щебень цена доставкой м3 екатеринбург 40 купить";2.53;0.84;0.37;0.59;0.55;1.69;2.16;1.94;1.98;79;80;31;0;0;15;20;5;10;20;82;100;100;84015;71939;38;22
"dana96.ru";"екатеринбург аренда манипулятор купить щебень цена спецтехники";30.63;36;46.74;54.27;43.31;-5.37;-16.11;-23.64;-12.68;467;468;376;41;30;379;105;5;16;40;94;100;100;14189;16990;87;21
"gruntovozov.ru";"екатеринбурге доставкой уголь купить отсев каменный почва";7.98;11.08;17.88;27.43;37.81;-3.1;-9.9;-19.45;-29.83;342;345;98;0;0;0;318;7;25;43;95;100;100;38529;22064;67;19
"ekaterinburg.pesok-kupit.ru";"песок купить стоит екатеринбурге строительный цена камаз";12.06;1.51;0.93;0.79;0.46;10.55;11.13;11.27;11.6;51;51;148;0;0;0;6;4;12;37;98;100;100;28538;100380;25;18
"pesok166.ru";"песок купить екатеринбурге цена щебень 1м3 20";2.77;2.27;3.82;4.65;3.11;0.5;-1.05;-1.88;-0.34;52;52;34;0;0;0;15;4;25;38;94;100;100;79241;98409;25;18
"career96.ru";"песок купить екатеринбурге щебень речной оптом тонну";1.55;2.01;1.21;1.19;0;-0.46;0.34;0.36;1.55;40;40;19;0;0;0;19;0;12;28;95;100;100;116134;119391;22;18
"rgk66.ru";"20 щебень режевской карьер доставкой официальный цена";2.77;1.85;1.3;1.19;0.09;0.92;1.47;1.58;2.68;80;81;34;0;0;0;22;1;17;48;90;100;100;80438;71864;29;17
"ural-rudnik.ru";"щебень первоуральское стоимость тонну рудоуправление";2.61;2.77;4.94;4.85;3.02;-0.16;-2.33;-2.24;-0.41;50;53;32;5;5;56;19;23;42;51;91;100;100;82934;101466;22;16
"tdatollekb.ru";"щебень купить м3 цена";0.81;0.67;0.93;0.89;0.73;0.14;-0.12;-0.08;0.08;37;37;10;0;0;10;17;11;14;32;86;100;100;168490;125330;19;16
"polevskoi-mramor.com";"щебень екатеринбург купить мраморный песок микрокальцит белый";5.21;5.12;5.31;5.55;3.48;0.09;-0.1;-0.34;1.73;175;175;64;0;0;1;106;11;27;41;93;100;100;52092;38743;40;16
"ekaterinburg.1navoz.ru";"доставкой навоз цена купить екатеринбурге мешках";0.16;0.17;0;0;0;-0.01;0.16;0.16;0.16;12;12;2;0;0;0;4;0;8;33;83;100;100;399139;264455;10;15
