Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"eaz66.ru";"/katalog/products/asfaltobeton/";126;15;7;80;93;100;100;100
"eaz66.ru";"/";25;19;63;79;95;100;100;100
"eaz66.ru";"/articles/izchegodelayutasfalt/";2;3;0;0;67;100;100;100
"eaz66.ru";"/katalog/item/goryachiy_asfalt_a16vn_gost_r_58406_2_2020/";2;3;67;100;100;100;100;100
"eaz66.ru";"/katalog/item/shchma_16_s_pbv_60_gost_r_58406_1_2020/";1;1;0;100;100;100;100;100
"eaz66.ru";"/katalog/item/shchebenochno_mastichnaya_smes_shchmas_15_gost_31015_2002/";1;1;0;0;100;100;100;100
"eaz66.ru";"/katalog/item/shchma_11_s_pbv_60_gost_r_58406_1_2020/";1;2;0;50;50;100;100;100
"eaz66.ru";"/katalog/products/mineralnyy-poroshok/";1;2;0;0;50;100;100;100
"eaz66.ru";"/katalog/item/kholodnaya_asfaltobetonnaya_smes_tip_bkh_marka_ii_gost_9128_2013/";1;3;0;0;0;100;100;100
"eaz66.ru";"/katalog/item/goryachiy_asfalt_a8vl_gost_r_58406_2_2020/";0;0;0;0;0;0;0;0
"eaz66.ru";"/katalog/item/pesok_iz_otsevov_drobleniya_s_krupnostyu_zeren_do_5_mm_gost_31424_2010/";0;1;0;0;0;100;100;100
"eaz66.ru";"/katalog/products/emulsiya-bitumnaya/";0;1;0;0;0;100;100;100
"eaz66.ru";"/articles/izmeneniygostov/";0;1;0;100;100;100;100;100
"eaz66.ru";"/katalog/";0;0;0;0;0;0;0;0
"eaz66.ru";"/katalog/products/shcheben/";0;2;0;0;0;100;100;100
"eaz66.ru";"/company/rekvizity/";0;1;0;0;0;100;100;100
"eaz66.ru";"/company/vakansii/";0;1;0;0;0;100;100;100
"eaz66.ru";"/katalog/item/goryachiy_asfalt_b_marka_1_gost_9128_2013/";0;1;0;0;0;100;100;100
"eaz66.ru";"/katalog/item/asfaltobetonnaya_smes_goryachaya_krupnozernistaya_plotnaya_tip_b_m_ii_gost_9128_2013/";0;1;0;100;100;100;100;100
"eaz66.ru";"/katalog/item/shcheben_shirokoy_fraktsii_ot_16_do_31_5_mm_gost_32703_2014/";0;1;0;0;0;100;100;100
"eaz66.ru";"/kalkulyator-asfalta/";0;0;0;0;0;0;0;0
"eaz66.ru";"/asfalt/";0;0;0;0;0;0;0;0
"eaz66.ru";"/katalog/item/ebk_1_gost_r52128_2003/";0;1;0;0;0;0;100;100
"eaz66.ru";"/company/kontakty/";0;1;0;100;100;100;100;100
