Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"www.keramzit66.ru";"/catalog/pesok/pesok_ekaterinburg_stroitelniy-1.html";192;12;8;8;75;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";57;29;0;34;62;100;100;100
"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk.html";48;36;19;67;83;94;100;100
"www.keramzit66.ru";"/catalog/sheben/za-kub/";39;29;0;24;55;97;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/Tvinblok/tvinblok_tb400.html";19;18;6;33;61;94;100;100
"www.keramzit66.ru";"/catalog/otsev/otsev_mechok.html";17;12;8;42;50;92;100;100
"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";16;22;5;23;55;95;100;100
"www.keramzit66.ru";"/catalog/sheben/za-kub/SHeben-5-20mm-bokosval.html";12;6;0;17;33;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/";12;12;0;33;50;92;100;100
"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-s-dostavkoi.html";11;9;0;56;89;100;100;100
"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk-25kg.html";11;11;18;82;82;100;100;100
"www.keramzit66.ru";"/catalog/dere-lep/opori-LEP-stolbi-dlina-8-5m.html";11;9;11;89;100;100;100;100
"www.keramzit66.ru";"/catalog/mramor/";11;13;0;38;77;92;100;100
"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";8;13;8;23;46;100;100;100
"www.keramzit66.ru";"/catalog/sheben/za-kub/sheben-kupit.html";8;6;0;33;33;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_v_mkr_ekaterinburg.html";7;8;12;50;62;100;100;100
"keramzit66.ru";"/";6;3;67;100;100;100;100;100
"www.keramzit66.ru";"/catalog/sheben/za-tonnu/SHeben-fr-20-40-40-70-v-MKR-po-1tn.html";6;10;10;50;80;100;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/";5;15;0;13;27;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-tip-v-m-2-gost9128-2013.html";5;5;0;60;80;80;100;100
"www.keramzit66.ru";"/catalog/glina/stroitelnaya/glina_14_m3-1.html";5;6;0;50;83;83;100;100
"www.keramzit66.ru";"/catalog/zemla/";5;18;6;17;28;72;100;100
"www.keramzit66.ru";"/catalog/dresva/dresva_0_20.html?yadclid=2687189&yadordid=187344998";4;4;25;50;75;100;100;100
"www.keramzit66.ru";"/catalog/sheben/Peschano-shebenochnaya-smes.html";4;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/sheben/v-meshkah/SHeben-5-10-5-20-20-40-40-70mm-v-meshkah-25kg.html";4;9;0;33;67;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/m3-kub/";3;7;0;57;86;100;100;100
"www.keramzit66.ru";"/catalog/mramor/mikrokaltsit/krohka-mramornaja-ekaterinburg-seraja-50kg-02-05mm-2-1.html";3;4;0;0;75;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/m3-kub/Keramzit-24-m3-fr10-20.html";3;5;0;40;100;100;100;100
"www.keramzit66.ru";"/catalog/";3;3;33;67;67;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/srezka/srezka-asfalta.html";3;4;0;75;100;100;100;100
"www.keramzit66.ru";"/catalog/cement/m-400/Cement-marka-400-v-meshkah-mkr.html";2;7;0;0;43;86;100;100
"www.keramzit66.ru";"/catalog/asfalt/asfaltovaya-kroshka/srezka-asfalta.html";2;3;0;33;100;100;100;100
"www.keramzit66.ru";"/catalog/gel-lep/110-kv/Opora_sv-110.html";2;5;0;0;20;100;100;100
"www.keramzit66.ru";"/catalog/dere-lep/opory-lep-9-5m/Opori-LEP-stolbi-dlina-9-5m.html";2;3;0;33;67;100;100;100
"www.keramzit66.ru";"/catalog/bitumnay-emulsia/emulsia-ebk2-bocka.html";2;3;0;0;67;100;100;100
"www.keramzit66.ru";"/catalog/glina/ogneupornaya/";2;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/plavikovyy-shpat/metallurgicheskie-kontsentraty/plavikovoshpatovyy-kontsentrat-fk-92.html";2;3;67;67;67;67;100;100
"www.keramzit66.ru";"/catalog/sheben/za-tonnu/";2;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi.html";2;4;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/pesok/";2;11;0;9;9;91;100;100
"www.keramzit66.ru";"/catalog/mramor/belaya/krohka-mramornaja-ekaterinburg-belaja.html";2;8;0;12;50;100;100;100
"www.keramzit66.ru";"/catalog/bitumnay-emulsia/";2;7;0;14;29;86;100;100
