Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"ntk-ekb.ru";"/catalog/pesok/pesok-mytyy/";253;2;0;100;100;100;100;100
"ntk-ekb.ru";"/catalog/scheben/";39;53;0;19;40;89;100;100
"ntk-ekb.ru";"/";18;14;36;57;64;93;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsii-20-40-mm/";15;24;4;25;75;96;100;100
"ntk-ekb.ru";"/catalog/otsev/";14;15;0;40;60;100;100;100
"ntk-ekb.ru";"/catalog/otsev/peschano-graviynaya-smes/";13;15;20;60;87;93;100;100
"ntk-ekb.ru";"/catalog/pesok/";11;19;0;21;47;95;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-5-20-mm/";10;5;0;40;80;100;100;100
"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";10;18;6;39;44;100;100;100
"ntk-ekb.ru";"/catalog/chernozem/";9;22;0;9;23;95;100;100
"ntk-ekb.ru";"/catalog/torf/";5;8;0;0;25;100;100;100
"ntk-ekb.ru";"/catalog/scheben/butovyy-kamen/";5;6;0;17;67;100;100;100
"ntk-ekb.ru";"/catalog/skala/";5;7;0;43;71;100;100;100
"ntk-ekb.ru";"/catalog/navoz/";5;10;0;20;50;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-40-70-mm/";4;6;17;50;67;100;100;100
"ntk-ekb.ru";"/uslugi/uborka-vyvoz-snega/vivoz-samosvalami/";3;3;0;33;33;100;100;100
"ntk-ekb.ru";"/catalog/pesok/pesok-rechnoy/";3;7;0;14;14;86;100;100
"ntk-ekb.ru";"/catalog/opil/";2;5;0;0;40;100;100;100
"ntk-ekb.ru";"/catalog/navoz/koroviy/";2;6;0;0;50;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-dekorativnyy-fraktsiya-5-20-mm/";2;2;0;0;0;100;100;100
"ntk-ekb.ru";"/uslugi/uborka-vyvoz-snega/traktor/";2;6;0;0;33;100;100;100
"ntk-ekb.ru";"/catalog/scheben/schebenochno-pesochnaya-smes/";2;5;0;60;60;100;100;100
"ntk-ekb.ru";"/catalog/scheben/gorniy-shit/";2;1;0;100;100;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsii-70-120-mm/";1;2;0;100;100;100;100;100
"ntk-ekb.ru";"/price/";1;3;0;0;67;100;100;100
"ntk-ekb.ru";"/catalog/pesok/stroitelnyy/";1;3;0;0;33;100;100;100
"ntk-ekb.ru";"/catalog/otsev/otsev-granitnyy-fraktsiya-0-5-mm/";1;2;0;0;100;100;100;100
"ntk-ekb.ru";"/uslugi/uborka-vyvoz-snega/";1;4;0;50;50;75;100;100
"ntk-ekb.ru";"/arenda-samosvalov/";1;5;0;0;20;100;100;100
"ntk-ekb.ru";"/catalog/pesok/pesok-dlya-pesochnits/";1;6;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-10-20-mm/";1;2;50;50;100;100;100;100
"ntk-ekb.ru";"/catalog/otsev/sredneuralsk/";1;1;0;100;100;100;100;100
"ntk-ekb.ru";"/catalog/scheben/big-beg/";1;3;0;0;67;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-5-10-mm/";1;3;0;33;33;67;100;100
"ntk-ekb.ru";"/catalog/scheben/berezovskiy/";1;1;0;0;100;100;100;100
"ntk-ekb.ru";"/catalog/chernozem/peregnoy/berezovskiy/";1;1;0;100;100;100;100;100
"ntk-ekb.ru";"/catalog/grunt/dresva/";1;5;0;0;40;100;100;100
"ntk-ekb.ru";"/catalog/scheben/izoplit/";1;2;0;50;50;100;100;100
"ntk-ekb.ru";"/catalog/pesok/pesok-dlya-betona/";1;3;0;0;33;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-granitnyy-fraktsiya-5-20-mm/";1;1;0;0;100;100;100;100
"ntk-ekb.ru";"/catalog/scheben/graviynyy/";1;2;0;50;50;100;100;100
"ntk-ekb.ru";"/uslugi/uborka-vyvoz-musora/";1;7;0;0;0;86;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-granitnyy-fraktsiya-20-40-mm/";1;1;0;100;100;100;100;100
"ntk-ekb.ru";"/catalog/grunt/rechnaya-galka/";0;1;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/";0;1;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/scheben/schebenochno-peschanaya-smes-dorozhnaya/";0;1;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-dorozhnyy-fraktsiya-40-70-mm/";0;1;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/scheben/scheben-dorozhnyy-fraktsii-5-20-mm/";0;1;0;0;0;100;100;100
"ntk-ekb.ru";"/catalog/opil/drevesnyy/";0;1;0;0;0;100;100;100
