Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"www.scheben-otsev66.ru";"/price_na_scheben";92;62;15;47;71;100;100;100
"www.scheben-otsev66.ru";"/";25;20;25;55;85;100;100;100
"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";21;11;9;55;91;100;100;100
"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";21;15;20;60;100;100;100;100
"www.scheben-otsev66.ru";"/cat/otsev";20;19;5;37;63;100;100;100
"www.scheben-otsev66.ru";"/cat/shcheben-20-40";15;18;6;50;83;94;100;100
"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";9;17;12;12;65;94;100;100
"www.scheben-otsev66.ru";"/cat/peschano-schebenochnaya-smes";9;6;0;67;67;100;100;100
"www.scheben-otsev66.ru";"/karyer-monetnyj";8;8;0;50;88;100;100;100
"www.scheben-otsev66.ru";"/cat/scheben";7;9;0;22;44;89;100;100
"www.scheben-otsev66.ru";"/cat/shcheben-5-20-mm";7;2;0;50;100;100;100;100
"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";5;16;19;38;44;88;100;100
"www.scheben-otsev66.ru";"/arenda-spetstekhniki";5;4;0;0;0;100;100;100
"www.scheben-otsev66.ru";"/cat/shchps-s6";4;2;100;100;100;100;100;100
"www.scheben-otsev66.ru";"/cat/shcheben-40-70";3;7;14;14;29;100;100;100
"www.scheben-otsev66.ru";"/stati/kakoy-shcheben-dlya-betona-vybrat";3;4;25;75;100;100;100;100
"www.scheben-otsev66.ru";"/stati/chto-luchshe-podkhodit-dlya-izgotovleniya-betona-pesok-ili-otsev";2;2;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/cat/pesok-iz-otsevov-drobleniya-fr-0-10";2;2;50;100;100;100;100;100
"www.scheben-otsev66.ru";"/cat/shchps-s5";2;2;50;100;100;100;100;100
"www.scheben-otsev66.ru";"/stati/otsev-chto-eto-takoe-vidy-granitnyi-mramornyi-gravyinyi";2;8;0;0;25;88;100;100
"www.scheben-otsev66.ru";"/stati/v-chem-raznitsa-mezhdu-otsevom-shchebnem-graviyem-i-peskom";1;1;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/cat/shchps-s4";1;2;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/stati/kakoj_shheben_nuzhen_dlya_fundamenta";1;2;0;50;100;100;100;100
"www.scheben-otsev66.ru";"/gost-25607-2009";1;6;0;0;17;83;100;100
"www.scheben-otsev66.ru";"/stati/skolko-shchebnya-i-peska-potrebuetsya-na-1-m%C2%B3-betona";1;3;0;33;33;100;100;100
"www.scheben-otsev66.ru";"/stati/kak-zameshivat-betonnuyu-smes-iz-otseva";1;6;0;0;33;83;100;100
"www.scheben-otsev66.ru";"/kontakty";1;2;0;0;50;100;100;100
"www.scheben-otsev66.ru";"/cat/shcheben-5-10";1;3;0;67;67;67;100;100
"www.scheben-otsev66.ru";"/cat/otsev-gravijnyj";1;1;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/stati/schps-fraktsii-harakteristiki-primenenie";1;2;0;50;50;100;100;100
"www.scheben-otsev66.ru";"/cat/betonnyy-rastvor";1;1;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/uralskiy-karer";1;1;0;0;0;100;100;100
"www.scheben-otsev66.ru";"/cat/skalnyj_grunt";1;6;0;17;17;100;100;100
"www.scheben-otsev66.ru";"/vyvoz-snega";1;2;0;0;50;50;100;100
"www.scheben-otsev66.ru";"/cat/shchps-0-40";1;2;0;50;50;100;100;100
"www.scheben-otsev66.ru";"/cat/butovyj_kamen";1;6;0;0;0;100;100;100
"www.scheben-otsev66.ru";"/cat/scheben-izvestnyakovyy";1;2;0;0;50;100;100;100
"www.scheben-otsev66.ru";"/cat/betonnyy-shcheben";0;1;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/cat/shchps-s2";0;1;0;100;100;100;100;100
"www.scheben-otsev66.ru";"/stati/chem-luchshe-vsego-otsypat-uchastok-pod-stroitelstvo";0;0;0;0;0;0;0;0
"www.scheben-otsev66.ru";"/stati/chto-takoye-leshchadnost-shchebnya";0;2;0;0;0;100;100;100
"www.scheben-otsev66.ru";"/shcheben-5-20";0;0;0;0;0;0;0;0
