Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"монетный щебеночный завод официальный сайт";6;5;;;61;50;34;29;29;50.9;0;"www.scheben-otsev66.ru";"/karyer-monetnyj"
"карьеры свердловской области";5;3;;1;4168;57;1470;32;28;34.8;0;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti"
"5 20";8;2;;;839364;486;14223;42;18;49.2;21000;"www.scheben-otsev66.ru";"/cat/shcheben-5-20-mm"
"скальный грунт купить в екатеринбурге";9;5;;1;70;18;38;14;12;43.8;0;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt"
"скальный грунт цена за м3 екатеринбург";3;6;;1;14;13;14;14;11;21.9;0;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt"
"заказать щебень";6;2;;;2134;65;78;9;9;0.3;14000;"www.scheben-otsev66.ru";"/cat/scheben"
"щебень гост 8267 93";3;4;;;1861;112;60;11;8;22.8;245000;"www.scheben-otsev66.ru";"/MyWeb-Image/table/certificates/field/image/content-field/image_content/equality-field/id/equality/11/1/GOST8267.pdf"
"насыпная плотность отсева";7;3;;;102;22;12;7;7;0.3;44000;"www.scheben-otsev66.ru";"/cat/otsev"
"щпс с4";3;2;;;1078;298;27;7;7;35.6;0;"www.scheben-otsev66.ru";"/cat/shchps-s4"
"жби карьер";15;2;;;86;6;35;6;6;24.1;465000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti"
"песок стоимость за куб";32;4;;;325;24;7;6;6;0.3;500000;"www.scheben-otsev66.ru";"/peschano-schebenochnaya-smes"
"отсев фракция";9;2;;;1862;60;106;6;6;13.7;191000;"www.scheben-otsev66.ru";"/cat/otsev"
"гравий цена за 1 м3 с доставкой";10;7;;;419;358;33;33;5;119.5;3000000;"www.scheben-otsev66.ru";"/price_na_scheben"
"купить песок с карьера";29;4;;;358;85;6;5;5;0.3;986000;"www.scheben-otsev66.ru";"/otsev"
