Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"щебень";10;1;;;560561;7212;12479;173;173;131.7;2000000;"www.scheben-otsev66.ru";"/price_na_scheben";
"аренда спецтехники екатеринбург";10;3;;1;659;246;393;142;142;386.4;335000;"www.scheben-otsev66.ru";"/arenda-spetstekhniki";
"щебень 5 20 цена за куб с доставкой екатеринбург";3;9;;1;125;102;98;77;77;157.7;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";-1
"купить щебень в екатеринбурге с доставкой цена";3;7;;1;199;91;139;108;63;57.4;7000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";-2
"отсев купить в екатеринбурге";9;4;;1;556;71;454;55;55;144;810000;"www.scheben-otsev66.ru";"/cat/otsev";-7
"щебень 20 40";6;3;;;33133;1318;933;53;40;66;2000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";-4
"щебень 5 20";3;3;;;24136;1171;397;60;34;66.2;3000000;"www.scheben-otsev66.ru";"/cat/shcheben-5-20-mm";
"купить щебень в екатеринбурге";4;4;;1;842;59;581;247;34;101.7;769000;"www.scheben-otsev66.ru";"/price_na_scheben";2
"щебень 20 40 цена за 1 м3 с доставкой екатеринбург";4;10;;1;43;42;33;32;32;128.2;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";-2
"купить щебень";10;2;;;105936;2146;1937;50;32;132;829000;"www.scheben-otsev66.ru";"/price_na_scheben";-1
"нерудные материалы";7;2;;;7841;658;236;30;30;100.9;1000000;"www.scheben-otsev66.ru";"/";
"щебенка";5;1;;;48204;1821;550;33;30;44.1;1000000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";
"отсев";7;1;;;36260;1182;1158;43;29;70.5;2000000;"www.scheben-otsev66.ru";"/cat/otsev";
"щебень купить в екатеринбурге";5;4;;1;254;39;167;34;29;238.5;772000;"www.scheben-otsev66.ru";"/";-4
"щебень 5 20 цена за куб";4;6;;;2538;1021;117;28;28;7.7;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";4
"щебень екатеринбург купить с доставкой";6;5;;1;428;28;356;24;24;106.5;932000;"www.scheben-otsev66.ru";"/price_na_scheben";-1
