Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"купить мытый песок";4;3;;;3397;438;550;60;60;96.4;754000;"www.keramzit66.ru";"/catalog/pesok/pesok_ekaterinburg_stroitelniy-1.html";27
"песок для песочницы";6;3;;;7967;973;334;42;42;41.1;2000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";4
"щебень екатеринбург купить с доставкой";4;5;;1;428;28;356;24;24;106.5;932000;"www.keramzit66.ru";"/catalog/sheben/za-kub/";23
"купить керамзит в екатеринбурге";3;4;;1;367;57;225;107;22;27.3;739000;"www.keramzit66.ru";"/catalog/keramzit/";4
"щебень стоимость за тонну";6;4;;;390;74;23;22;21;17.6;507000;"www.keramzit66.ru";"/catalog/sheben/za-tonnu/";37
"асфальт купить в екатеринбурге";3;4;;1;646;28;440;18;18;47.7;883000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";6
"купить землю в екатеринбурге для огорода";5;6;;1;79;17;66;17;17;28.3;11000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";3
"холодный асфальт в мешках купить в екатеринбурге";2;7;;1;26;18;23;23;16;23.6;943000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";2
"песок строительный цена";7;3;;;4588;468;59;13;13;22.3;844000;"www.keramzit66.ru";"/catalog/pesok/pesok_ekaterinburg_stroitelniy-1.html";1
"купить глину в екатеринбурге";2;4;;1;133;15;107;11;11;0.3;732000;"www.keramzit66.ru";"/catalog/glina/stroitelnaya/glina_14_m3-1.html";2
"опил в екатеринбурге";5;3;;1;65;10;45;10;10;0.3;177000;"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-s-dostavkoi.html";2
"дресьва цена екатеринбург с доставкой";1;5;;1;31;13;25;13;9;30.8;743000;"www.keramzit66.ru";"/catalog/dresva/dresva_0_20.html?yadclid=2687189&yadordid=187344998";8
"дресва купить";7;2;;;1220;45;210;8;8;21.5;833000;"www.keramzit66.ru";"/catalog/dresva/dresva_cena-1.html";1
"асфальт купить в екатеринбурге цена";3;5;;1;224;17;145;8;8;49;1000000;"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-tip-v-m-2-gost9128-2013.html";4
"купить опил в екатеринбурге с доставкой цена";4;7;;1;10;7;10;7;7;4.4;1000000;"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-s-dostavkoi.html";5
"дресьва цена екатеринбург";5;3;;1;45;10;32;7;7;1.1;8000;"www.keramzit66.ru";"/catalog/dresva/v-meshkah/dresva_0_20.html";1
"чернозем купить в екатеринбурге с доставкой цена";6;7;;1;44;7;42;7;7;14.2;1000000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi.html";2
"мраморная крошка в екатеринбурге купить";3;5;;1;59;9;27;15;7;31;828000;"www.keramzit66.ru";"/catalog/mramor/";1
"деревянные опоры лэп купить в екатеринбурге";1;6;;1;20;10;10;10;7;38.9;1000000;"www.keramzit66.ru";"/catalog/dere-lep/opori-LEP-stolbi-dlina-8-5m.html";1
"грунт в мешках";1;3;;;4488;84;61;6;6;10.5;282000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";4
"щебень в мешках купить в екатеринбурге";2;6;;1;12;6;12;6;6;33.6;990000;"www.keramzit66.ru";"/catalog/sheben/v-meshkah/SHeben-5-10-5-20-20-40-40-70mm-v-meshkah-25kg.html";1
"песок стоимость за куб";8;4;;;325;24;7;6;6;0.3;500000;"www.keramzit66.ru";"/catalog/pesok/";7
"купить керамзит в екатеринбурге с доставкой цена за куб";3;9;;1;9;6;6;5;5;0.3;2000;"www.keramzit66.ru";"/catalog/keramzit/m3-kub/";1
"св 110";7;2;;;7825;133;256;5;5;0.3;365000;"www.keramzit66.ru";"/catalog/gel-lep/110-kv/Opora_sv-110.html";3
"купить мраморную крошку";5;3;;;13927;267;192;60;5;37.9;636000;"www.keramzit66.ru";"/catalog/mramor/belaya/krohka-mramornaja-ekaterinburg-belaja.html";1
"купить асфальт в екатеринбурге с доставкой цена";2;7;;1;12;5;8;5;5;82.2;1000000;"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-tip-v-m-2-gost9128-2013.html";7
"эмульсия битумная";4;2;;;10524;105;286;24;5;22.4;186000;"www.keramzit66.ru";"/catalog/bitumnay-emulsia/";3
"опил";2;1;;;21205;215;1039;8;5;22.1;1000000;"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-s-dostavkoi.html";5
"глина купить в екатеринбурге";5;4;;1;142;6;98;18;5;45.9;691000;"www.keramzit66.ru";"/catalog/glina/stroitelnaya/glina_14_m3-1.html";1
"купить кварцевый песок в екатеринбурге";7;5;;1;73;6;54;37;5;87.5;695000;"www.keramzit66.ru";"/catalog/pesok/kvartsevyy-pesok/";2
"песок для песочниц";4;3;;;5552;53;155;27;4;54.9;194000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";4
"купить асфальтовую срезку в екатеринбурге";3;5;;1;94;5;61;24;4;47.6;853000;"www.keramzit66.ru";"/catalog/asfalt/srezka/srezka-asfalta.html";11
"чернозем в мешках купить";7;4;;;2548;136;36;7;4;21.1;2000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";14
"цемент 50 кг екатеринбург";10;4;;1;107;4;63;4;4;0.3;1000000;"www.keramzit66.ru";"/catalog/cement/pts-500/Cement-PC-500-v-meshkah-po-50kg.html";41
"керамзит в мешках купить в екатеринбурге";2;6;;1;55;4;34;16;4;13.9;809000;"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_v_mkr_ekaterinburg.html";4
