Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"купить щебень в екатеринбурге с доставкой цена";6;7;;1;199;91;139;108;63;57.4;7000;"ntk-ekb.ru";"/catalog/scheben/";3
"отсев";5;1;;;36260;1182;1158;43;29;70.5;2000000;"ntk-ekb.ru";"/catalog/otsev/";1
"камаз щебня цена";7;3;;;1505;348;60;21;21;46.9;701000;"ntk-ekb.ru";"/catalog/scheben/";4
"щебень купить";4;2;;;44758;712;610;24;20;98.2;774000;"ntk-ekb.ru";"/catalog/scheben/";6
"отсев цена за 1 м3 с доставкой екатеринбург";3;8;;1;25;24;17;17;17;0.3;4000000;"ntk-ekb.ru";"/catalog/otsev/";2
"купить перегной в екатеринбурге с доставкой";5;6;;1;122;18;92;18;16;44.6;844000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";2
"пгс екатеринбург";5;2;;1;201;24;90;16;15;43.1;8000;"ntk-ekb.ru";"/catalog/otsev/peschano-graviynaya-smes/";4
"купить щебень с доставкой";6;4;;;19680;625;453;12;12;58.6;910000;"ntk-ekb.ru";"/catalog/scheben/";2
"ооо нтк";4;2;;;3364;443;97;12;11;0.3;2000000;"ntk-ekb.ru";"/";4
"сколько стоит камаз щебня в екатеринбурге";6;6;1;1;14;11;10;10;10;15.1;713000;"ntk-ekb.ru";"/catalog/scheben/";5
"аренда самосвала";5;2;;;8481;773;207;32;8;318.3;318000;"ntk-ekb.ru";"/arenda-samosvalov/";3
"щебеночно песчаная смесь";6;3;;;5913;424;142;16;8;17.8;171000;"ntk-ekb.ru";"/catalog/scheben/schebenochno-pesochnaya-smes/";3
"щебень тонна цена";3;3;;;4241;52;35;8;8;55.8;858000;"ntk-ekb.ru";"/catalog/scheben/";4
"щебень горный щит";2;3;;;60;10;38;7;7;85.1;270000;"ntk-ekb.ru";"/catalog/scheben/gorniy-shit/";1
"щебень 40 70";3;3;;;9767;380;137;7;7;33.4;1000000;"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-40-70-mm/";3
"песчано гравийная смесь купить в екатеринбурге";2;6;;1;13;9;9;9;6;17.4;751000;"ntk-ekb.ru";"/catalog/otsev/peschano-graviynaya-smes/";3
"перегной в мешках купить в екатеринбурге";2;6;;1;21;8;19;7;6;12.8;752000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";5
