Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"купить щебень в екатеринбурге";4;4;;1;842;59;581;247;34;101.7;769000;"www.scheben-otsev66.ru";"/price_na_scheben";2
"щебень 5 20 цена за куб";4;6;;;2538;1021;117;28;28;7.7;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";4
"монетный щебеночный завод";4;3;;;290;53;129;24;23;45.3;270000;"www.scheben-otsev66.ru";"/karyer-monetnyj";3
"щебень екатеринбург";3;2;;1;1038;51;594;43;23;137.4;156000;"www.scheben-otsev66.ru";"/";4
"щебень стоимость за тонну";2;4;;;390;74;23;22;21;17.6;507000;"www.scheben-otsev66.ru";"/price_na_scheben";5
"камаз щебня цена";4;3;;;1505;348;60;21;21;46.9;701000;"www.scheben-otsev66.ru";"/price_na_scheben";5
"пщс";2;1;;;1972;165;237;30;21;18.6;2000000;"www.scheben-otsev66.ru";"/cat/peschano-schebenochnaya-smes";2
"щебень купить";3;2;;;44758;712;610;24;20;98.2;774000;"www.scheben-otsev66.ru";"/cat/scheben";1
"отсев цена за 1 м3 с доставкой екатеринбург";1;8;;1;25;24;17;17;17;0.3;4000000;"www.scheben-otsev66.ru";"/cat/otsev";1
"купить щебень в екатеринбурге с доставкой цена 20 40";4;9;;1;17;15;17;15;15;57.3;8000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";1
"карьеры свердловской области щебень";4;4;;1;60;18;31;15;15;21.8;842000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";1
"щебень цена за м3";1;4;;;3545;295;64;14;14;35.2;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";3
"фракция щебня";8;2;;;23105;251;460;21;11;37.9;173000;"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";1
"купить щебень екатеринбург";2;3;;1;320;19;199;15;10;110.7;707000;"www.scheben-otsev66.ru";"/";3
"щпс";1;1;;;10981;824;245;13;10;0.3;2000000;"www.scheben-otsev66.ru";"/cat/shchps-s6";2
"плотность щебня 40 70";1;4;;;577;130;22;9;9;0.3;970000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";1
"купить щебень в екатеринбурге с доставкой цена за куб";2;9;;1;45;13;30;9;8;69.2;1000000;"www.scheben-otsev66.ru";"/price_na_scheben";2
