Ключ;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления;Вес ключа
"купить щебень в екатеринбурге с доставкой";6;;1;37;7;30;15;7;50.2;690000;0;0;0;4
"щпс купить в екатеринбурге";4;;1;9;5;7;5;5;0.3;672000;0;0;9;4
"щебень екатеринбург купить с доставкой";5;;1;428;28;356;24;24;106.5;932000;0;0;8;4
"щебеночно песчаная смесь";3;;;5913;424;142;16;8;17.8;171000;0;0;0;4
"сколько стоит отсев в екатеринбурге";5;1;1;7;2;3;2;2;0.3;605000;0;0;0;4
"щебень фракция 40 70 цена";5;;;258;29;11;2;2;0.3;2000000;0;0;10;4
"щебень фракции 40 70";4;;;1393;113;30;3;2;9.8;1000000;0;0;0;4
"щебень 40 70 цена за 1 м3";7;;;101;58;9;4;4;0.3;4000000;0;0;8;4
"щебень 5 20 цена за куб с доставкой екатеринбург";9;;1;125;102;98;77;77;157.7;3000000;0;0;8;4
"щебень в екатеринбурге цена с доставкой";6;;1;176;3;145;3;3;0.3;853000;0;0;8;4
"купить щебень 40 70";4;;;630;52;15;2;2;0.3;2000000;0;0;0;4
"отсев цена за 1 м3 с доставкой екатеринбург";8;;1;25;24;17;17;17;0.3;4000000;0;0;0;4
"купить щебень гранитный 20 40 с доставкой";7;;;37;22;4;4;4;0.3;2000000;0;0;0;4
"щебень фракция 20 40";4;;;5504;381;99;11;5;0.3;2000000;0;0;0;3
"щебень с доставкой екатеринбург 20 40 цена";7;;1;27;3;23;3;3;0.3;2000000;0;0;0;3
"песок мытый с доставкой цена";5;;;1508;1310;1271;1271;1271;101.4;885000;0;0;1;3
"купить скальный грунт";3;;;204;7;37;3;2;32.9;706000;0;0;0;3
"купить отсев гранитный";3;;;2258;90;26;3;2;4.5;679000;0;0;3;3
"дресва купить в екатеринбурге";4;;1;14;3;14;3;3;11.7;851000;0;0;0;3
"щебень 5 20";3;;;24136;1171;397;60;34;66.2;3000000;0;0;0;3
"щебень цена за 1 м3";5;;;2975;90;124;5;2;19.7;4000000;1;1;0;3
