запрос,частота,причина,родитель
"щебень пермь","85","минус-слово: перм","щебень"
"щебень тюмень","81","минус-слово: тюмен","щебень"
"пермский щебень","66","минус-слово: перм","щебень"
"щебень москва","60","минус-слово: москв","щебень"
"белый мраморный щебень купить в костромской области","53","минус-слово: омск","щебень"
"купить щебень в костромской области","53","минус-слово: омск","щебень"
"скачать щебнем","50","минус-слово: скачать","щебень"
"купить щебень в тюмени","39","минус-слово: тюмен","щебень"
"щебень купить в перми","26","минус-слово: перм","щебень купить"
"купить щебень в кургане","25","минус-слово: курган","щебень купить"
"купить мраморный щебень в омской области","24","минус-слово: омск","щебень купить"
"купить щебень омская область","24","минус-слово: омск","щебень купить"
"белый мраморный щебень купить в казахстане","20","минус-слово: казахстан","щебень купить"
"щебень цена тюмень","13","минус-слово: тюмен","щебень цена"
"лемано про щебень цена тюмень","6","минус-слово: тюмен","щебень цена"
"щебень цена пермь","5","минус-слово: перм","щебень цена"
"щебень с доставкой тюмень","7","минус-слово: тюмен","щебень с доставкой"
"щебень с доставкой пермь","6","минус-слово: перм","щебень с доставкой"
"купить щебень в москве с доставкой","5","минус-слово: москв","щебень с доставкой"
"щебень с доставкой москва","5","минус-слово: москв","щебень с доставкой"
"купить щебень в тюмени с доставкой","5","минус-слово: тюмен","щебень с доставкой"
"щебень с доставкой в челябинске","4","минус-слово: челябинск","щебень с доставкой"
"щебень тюмень цена с доставкой","4","минус-слово: тюмен","щебень с доставкой"
"купить щебень с доставкой в челябинске","3","минус-слово: челябинск","щебень с доставкой"
"доставка щебня спб с доставкой","2","минус-слово: спб","щебень с доставкой"
"щебень челябинск цена с доставкой","2","минус-слово: челябинск","щебень с доставкой"
"гранитный щебень в москве с доставкой","2","минус-слово: москв","щебень с доставкой"
"щебень купить в москве с доставкой цена","2","минус-слово: москв","щебень с доставкой"
"щебень с доставкой цена москва","2","минус-слово: москв","щебень с доставкой"
"щебень в новосибирске с доставкой","2","минус-слово: новосибирск","щебень с доставкой"
"щебень купить в новосибирске с доставкой","2","минус-слово: новосибирск","щебень с доставкой"
"щебень с доставкой омск","2","минус-слово: омск","щебень с доставкой"
"щебень 5 20 челябинск цена с доставкой","1","минус-слово: челябинск","щебень с доставкой"
"купить щебень в новосибирске с доставкой цена","1","минус-слово: новосибирск","щебень с доставкой"
"купить щебень в омске с доставкой","1","минус-слово: омск","щебень с доставкой"
"щебень в новосибирске с доставкой цена","1","минус-слово: новосибирск","щебень с доставкой"
"щебень купить в перми с доставкой","1","минус-слово: перм","щебень с доставкой"
"купить щебень в челябинске с доставкой цена","1","минус-слово: челябинск","щебень с доставкой"
"щебень 20 40 челябинск цена с доставкой","1","минус-слово: челябинск","щебень с доставкой"
"гранитный щебень тюмень","8","минус-слово: тюмен","щебень гранитный"
"купить гранитный щебень в тюмени","8","минус-слово: тюмен","щебень гранитный"
"гранитный щебень пермь","7","минус-слово: перм","щебень гранитный"
"гранитный щебень в москве","6","минус-слово: москв","щебень гранитный"
"купить щебень гранитный в москве","6","минус-слово: москв","щебень гранитный"
"щебень гранитный квадрат пермь фролы лис","5","минус-слово: перм","щебень гранитный"
"гранитный щебень 20 40 москва","3","минус-слово: москв","щебень гранитный"
"щебень гранитный 20 40 купить в москве","3","минус-слово: москв","щебень гранитный"
"цена щебень гранитный москва","2","минус-слово: москв","щебень гранитный"
"вторичный щебень самара","1","минус-слово: самар","щебень вторичный"
"щебень 5 20 челябинская область","10","минус-слово: челябинск","щебень 5-20"
"щебень 5 20 тюмень","8","минус-слово: тюмен","щебень 5-20"
"щебень 5 20 купить в тюмени","7","минус-слово: тюмен","щебень 5-20"
"щебень 5 20 купить челябинск","2","минус-слово: челябинск","щебень 5-20"
"щебень 5 20 челябинск цена","1","минус-слово: челябинск","щебень 5-20"
"щебень 5 20 пермь","1","минус-слово: перм","щебень 5-20"
"щебень 5 20 цена тюмень","1","минус-слово: тюмен","щебень 5-20"
"щебень 20 40 москва","15","минус-слово: москв","щебень 20-40"
"щебень 20 40 в новосибирске","14","минус-слово: новосибирск","щебень 20-40"
"щебень 20 40 пермь","10","минус-слово: перм","щебень 20-40"
"сертификат на щебень 20 40 скачать","9","минус-слово: скачать","щебень 20-40"
"паспорт на щебень 20 40 скачать","5","минус-слово: скачать","щебень 20-40"
"щебень 20 40 купить в тюмени","4","минус-слово: тюмен","щебень 20-40"
"щебень 20 40 тюмень","4","минус-слово: тюмен","щебень 20-40"
"щебень 20 40 купить в москве","3","минус-слово: москв","щебень 20-40"
"щебень 20 40 купить в перми","3","минус-слово: перм","щебень 20-40"
"щебень 20 40 челябинск","3","минус-слово: челябинск","щебень 20-40"
